
frequency,amplitude
1200608657422851.0,0.6236782156570173
1200720853353831.5,0.05347025257337954
1200833049284812.0,1.7111361598325745
1200945245215792.8,0.5743498816290917
1201057441146773.2,0.21322209330816366
1201169637077753.8,0.9031707602949205
1201281833008734.2,2.432460196487036
1201394028939714.8,2.3469664643686716
1201506224870695.5,0.9571381263793615
1201618420801676.0,1.552479128768815
1201730616732656.5,0.8428191630841219
1201842812663637.0,0.3204776511254016
1201955008594617.5,0.415034808692172
1202067204525598.2,0.7267946388652734
1202179400456578.8,-0.24755538686045717
1202291596387559.2,-2.3326004774361033
1202403792318539.8,0.23379690944383233
1202515988249520.2,1.4559468453275153
1202628184180501.0,0.35748060722717734
1202740380111481.5,0.48823317800416555
1202852576042462.0,0.008274737652924805
1202964771973442.5,0.5871086113940235
1203076967904423.0,0.9350021481618117
1203189163835403.5,0.4978750399995007
1203301359766384.2,1.3827666584019735
1203413555697364.8,0.8547764813659937
1203525751628345.2,0.2879975910408458
1203637947559325.8,0.6922837801435053
1203750143490306.2,0.8124749145624351
1203862339421287.0,5.633431481366619
1203974535352267.5,3.404134396360665
1204086731283248.0,0.07987536258377097
1204198927214228.5,0.4123261566484278
1204311123145209.0,0.866883866189569
1204423319076189.8,0.29371109648718163
1204535515007170.2,0.2655081515484021
1204647710938150.8,0.19198430502048072
1204759906869131.2,-0.3543793719492549
1204872102800111.8,0.505213033361562
1204984298731092.5,0.535063082264476
1205096494662073.0,0.13265423641820054
1205208690593053.5,0.5351958026863822
1205320886524034.0,0.05059363224279166
1205433082455014.5,-0.07245458591719474
1205545278385995.2,0.23571388500620943
1205657474316975.8,1.6946128229167319
1205769670247956.2,-0.18503599083793273
1205881866178936.8,0.47983920319074597
1205994062109917.2,1.2499259882489082
1206106258040898.0,0.9263579581867984
1206218453971878.5,1.296646988929306
1206330649902859.0,0.7447932968836429
1206442845833839.5,1.3133924693292458
1206555041764820.0,0.609756606051812
1206667237695800.8,0.9025976260723894
1206779433626781.2,0.18710886008104766
1206891629557761.8,0.031914886846997045
1207003825488742.2,0.9471567386820801
1207116021419722.8,0.18107658446150995
1207228217350703.2,0.08091078347778968
1207340413281684.0,-0.15006243704661065
1207452609212664.5,-0.48008841554295667
1207564805143645.0,0.1924816746041381
1207677001074625.5,0.5932271331758421
1207789197005606.0,0.13958114026071253
1207901392936586.8,-0.2624311149454869
1208013588867567.2,0.1563964148353125
1208125784798547.8,1.1549356330996163
1208237980729528.2,0.7028603436986331
1208350176660508.8,0.9261036008423049
1208462372591489.5,0.6439858365983576
1208574568522470.0,6.856455336169647
1208686764453450.5,0.30882202052391583
1208798960384431.0,0.6118741981111797
1208911156315411.5,1.3955584869849933
1209023352246392.2,2.4215724912973227
1209135548177372.8,0.09804248687851069
1209247744108353.2,0.595559616565172
1209359940039333.8,0.07051532367545485
1209472135970314.2,0.48581365871075377
1209584331901295.0,0.061495449227802444
1209696527832275.5,-0.2833411742009796
1209808723763256.0,0.37798726794034354
1209920919694236.5,-0.0586288976226068
1210033115625217.0,-0.19090524004973405
1210145311556197.8,0.055198227527769386
1210257507487178.2,-0.07454488406170581
1210369703418158.8,0.7834141838533091
1210481899349139.2,0.47787368236133404
1210594095280119.8,0.9736011976737489
1210706291211100.5,0.7078181961500271
1210818487142081.0,1.2701389015308409
1210930683073061.5,1.2235394521473693
1211042879004042.0,0.5121653046653311
1211155074935022.5,0.7699516723373522
1211267270866003.0,0.42643748521155955
1211379466796983.8,0.2037602066395488
1211491662727964.2,-0.08298045343332378
1211603858658944.8,0.09374692052783015
1211716054589925.2,-0.006937591633333763
1211828250520905.8,1.0051061936113983
1211940446451886.5,0.2333256916810607
1212052642382867.0,0.20069362600978893
1212164838313847.5,-0.023820595016949546
1212277034244828.0,-0.1290224400077067
1212389230175808.5,1.0145067211929155
1212501426106789.2,0.5449504295115427
