
wavelengths,amplitude
1070.1,0.9339518745105028
1070.2,0.7987373580560981
1070.3,0.6004108642102973
1070.4,0.3402671759779227
1070.5,0.11763373539348987
1070.6,0.040526939528781204
1070.7,0.14111217328153586
1070.8,0.2976540258505793
1070.9,0.5327252976346478
1071.0,0.7729852169752427
1071.1,0.907764417294454
1071.2,0.8871190273719397
1071.3,0.7616076489522687
1071.4,0.4993172856967329
1071.5,0.304762529255383
1071.6,0.13748948637709157
1071.7,0.03996097958214468
1071.8,0.08259792322686042
1071.9,0.2949196892341285
1072.0,0.510894124761774
1072.1,0.7203451181535658
1072.2,0.845074068380557
1072.3,0.9499151442715066
1072.4,0.8616674567819408
1072.5,0.6104330662422831
1072.6,0.3713692197045663
1072.7,0.1832940306160407
1072.8,0.07122065878385685
1072.9,0.0660251571320147
1073.0,0.23638381036699466
1073.1,0.42941565539298504
1073.2,0.6207207716754832
1073.3,0.9092430347417164
1073.4,0.901479210279067
1073.5,0.8388214458685784
1073.6,0.7287431599003732
1073.7,0.48627494759357176
1073.8,0.21276211191414623
1073.9,0.06060624799902812
1074.0,0.006802719130725414
1074.1,0.08348571552378273
1074.2,0.30618373036835306
1074.3,0.5724238244187924
1074.4,0.8330961317410819
1074.5,0.9556927191706905
1074.6,0.9612288813225095
1074.7,0.8578129827078708
1074.8,0.5968221179656248
1074.9,0.29760811882088
1075.0,0.10846543124367067
1075.1,-0.030960789505238676
1075.2,-0.045969360258950966
1075.3,0.11940717894187032
1075.4,0.387436073623369
1075.5,0.6322886772491503
1075.6,0.9828172772666215
1075.7,0.9933495362876984
1075.8,0.9644180400840654
1075.9,0.721068506788563
1076.0,0.5683852144649928
1076.1,0.23283988972786657
1076.2,-0.0072383669291280995
1076.3,-0.0783238465413523
1076.4,-0.019913472547384403
1076.5,0.16330801591303176
1076.6,0.5084892534604424
1076.7,0.742847122391391
1076.8,0.8770924712989794
1076.9,1.1204241408426805
1077.0,0.9161973281159057
1077.1,0.8072616092550773
1077.2,0.5029038057283274
1077.3,0.20068249588630177
1077.4,-0.0013587276046542406
1077.5,-0.07419055539676135
1077.6,-0.03889782659993503
1077.7,0.17344015225613788
1077.8,0.4816121287435366
1077.9,0.6638964619007626
1078.0,1.029582842644151
1078.1,1.0920423574548621
1078.2,1.1103151176212247
1078.3,0.9640688565378848
1078.4,0.5995774927429318
1078.5,0.28382585002389044
1078.6,0.012168629450044457
1078.7,-0.08529720557671953
1078.8,-0.05478308209953384
1078.9,0.11825720081955153
1079.0,0.316780317972488
1079.1,0.7647657983787013
1079.2,0.9882895732117928
1079.3,1.0009914795728814
1079.4,1.2017791615251898
1079.5,0.9359045608988446
1079.6,0.6174563431577956
1079.7,0.31061602011232775
1079.8,0.06342129008069315
1079.9,-0.09451018623152999
1080.0,-0.1228518664964829
1080.1,0.035358819052370954
1080.2,0.3289059116603622
1080.3,0.636582043475503
1080.4,0.7183861894406274
1080.5,1.0720339994745596
1080.6,1.089699063950569
1080.7,0.961032936253283
1080.8,0.7300256837691189
1080.9,0.3958246601312895
1081.0,0.19261512211764545
1081.1,-0.02034083476519312
1081.2,-0.10403228589773832
1081.3,-0.030820659416197844
1081.4,0.13174792446906475
1081.5,0.38062401319386135
1081.6,0.6420960864611577
